Part of Speech,Latin Vocab Entry,English Definition,Chapter
Pronouns,"hic, haec, hoc",this,9
Pronouns,"ille, illa, illud",that,9
Adverb,olim,"once (upon a time), one day (in the future)",9
Adverb,tamen,"however, nevertheless, yet",9
Adverb,et,even; also,9
Preposition,ante (+ acc.),"before, in front of",9
Preposition,inter (+ acc.),"between, among",9
Coordinating Conjunction,aut,or,9
Coordinating Conjunction,aut … aut,either … or,9
Noun,"*ars, artis f.","skill, art",10
Noun,"causa, causae f. causa (+ gen.)","cause, reason; for the sake of, because of",10
Noun,"gratia, gratiae f. ; gratia (+ gen.); gratias agere (+ dat.)","grace; favor, kindness; gratitude; for the sake of, because of; to thank",10
Noun,"*ignis, ignis m.",fire,10
Noun,"*mare, maris n. (abl. Sg. = mare and mari)",sea,10
Noun,"*mens, mentis f.","mind, judgment, reason",10
Noun,"*mors, mortis f.",death,10
Noun,"*pars, partis f.","part, share, direction",10
Noun,"*urbs, urbis f.",city,10
Adjective,"acer, acris, acre","sharp, fierce; eager",10
Adjective,"brevis, breve","brief, short",10
Adjective,"celer, celeris, celere","swift, quick, rapid",10
Adjective,"difficilis, difficile",difficult,10
Adjective,"dulcis, dulce",sweet; pleasant,10
Adjective,"facilis, facile",easy,10
Adjective,"felix, felicis","fortunate, lucky",10
Adjective,"fortis, forte",brave; strong,10
Adjective,"ingens, ingentis",huge; mighty,10
Adjective,"omnis, omne","all, every",10
Adjective,"potens, potentis",powerful; able,10
Preposition,ob (+ acc.),because of,10
Preposition,per (+ acc.),"through, along; because of; by (in oaths and prayers)",10
Coordinating Conjunction,"atque, ac",and,10
Coordinating Conjunction,nec or neque,"and not, and … not",10
Coordinating Conjunction,nec … nec,neither … nor,10
Coordinating Conjunction,neque … neque,neither … nor,10
Noun,"aetas, aetatis f.","age, life",11
Noun,"annus, anni m.",year,11
Noun,"hora, horae f.","hour, season",11
Noun,"*nox, noctis f.",night,11
Noun,"numen, numinis n.","divine will, divine power",11
Noun,"ratio, rationis f.","eason, judgment; method",11
Noun,"tempus, temporis n.","time, period of time (e.g. a season); opportunity",11
Verb,"discedo, discedere, discessi, discessurus","to depart, go away; separate",11
Verb,"misceo, miscere, miscui, mixtus","to mix, mingle; stir up, disturb",11
Adjective,"alius, alia, aliud (alterius is commonly used for gen. sg.)","other, another",11
Adjective,aliud … aliud,one thing … another (thing),11
Adjective,alii … alii,some … others,11
